Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
BEEF,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",13885,28.35,1 oz
BEEF,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",13887,28.35,1 oz
BEEF,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",13891,28.35,1 oz
BEEF,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,RAW",13894,28.35,1 oz
BEEF,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,RAW",13898,28.35,1 oz
BEEF,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW",13901,28.35,1 oz
BEEF,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",13905,28.35,1 oz
BEEF,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",13907,28.35,1 oz
BEEF,"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,RAW",13926,28.35,1 oz
BEEF,"BEEF,TOP SIRLOIN,LN&FAT,1/8""FAT,CHOIC,RAW",13931,28.35,1 oz
BEEF,"BEEF,CURED,BRKFST STRIPS,CKD",13345,34,3 slices
BEEF,"BEEF,CURED,SAUSAGE,CKD,SMOKED",13357,43,1 sausage
BEEF,"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",13326,67.94,1 slice
BEEF,"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD",13344,68,3 slices
BEEF,"BEEF,CURED,PASTRAMI",13355,71,"1 package, 2.5 oz"
BEEF,"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",13327,81.5,1 slice
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",13322,85,3 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",13324,85,3 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,SIMMRD",13340,85,3 oz
BEEF,"BEEF,TENDERLOIN,LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",13439,85,3 oz
BEEF,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",13445,85,3 oz
BEEF,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",13459,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",13460,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",13463,85,"3 oz,  ( 1serving )"
BEEF,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",13466,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,SHRT LOIN,PRTRHS STEAK,LN, 0"" FAT,USDA CHOIC,CKD,BRLD",13467,85,3 oz
BEEF,"BEEF,SHRT LOIN,PRTRHS STEAK,LN ONLY,0"" FAT,USDA SEL,CKD,BRLD",13470,85,3 oz
BEEF,"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",13473,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,LOIN,T-BONE STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",13474,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",13477,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",13480,85,"3 oz,  ( 1 serving )"
BEEF,"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,USDA CHOIC,CKD,BRLD",13481,85,3 oz
BEEF,"BEEF,SHRT LOIN,T-BONE STEAK,LN, 0"" FAT,USDA SEL,CKD,BRLD",13484,85,3 oz
BEEF,"BEEF,GROUND,70% LN MEAT / 30% FAT,CRUMBLES,CKD,PAN-BROWNED",13494,85,"1 serving,  (3 oz )"
BEEF,"BEEF,GROUND,70% LN MEAT / 30% FAT,LOAF,CKD,BKD",13495,85,"1 serving,  ( 3 oz )"
BEEF,"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY CKD,PAN-BROILED",13496,85,1 serving
BEEF,"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY,CKD,BRLD",13497,85,1 serving
BEEF,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",13910,85,3 oz
BEEF,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",13916,85,3 oz
BEEF,"BEEF,TENDERLOIN,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",13918,85,3 oz
